Trace file,Cache Size,Replacement Type,Block Size,Associativity,Total # blocks,Tag Size (bits),Index Size (bits),Overhead Memory Size (bytes),Implementation Memory Size (bytes),Total Cache Accesses,Cache Hits,Cache Misses,Compulsory Cache Misses,Conflict Misses,Cache Miss Rate (%)
Trace/A-9_new1.5.pdf.trc,16,RR,4,1,4096,18,12,9728,26112,482641,404721,77920,4096,73824,16.1445
Trace/A-9_new1.5.pdf.trc,16,RR,4,2,4096,19,11,10240,26624,482641,416870,65771,4096,61675,13.6273
Trace/A-9_new1.5.pdf.trc,16,RR,4,4,4096,20,10,10752,27136,482641,421939,60702,4096,56606,12.5771
Trace/A-9_new1.5.pdf.trc,16,RR,4,8,4096,21,9,11264,27648,482641,424015,58626,4096,54530,12.1469
Trace/A-9_new1.5.pdf.trc,16,RR,4,16,4096,22,8,11776,28160,482641,424176,58465,4096,54369,12.1136
Trace/A-9_new1.5.pdf.trc,16,RR,8,1,2048,18,11,4864,21248,420288,372432,47856,2048,45808,11.3865
Trace/A-9_new1.5.pdf.trc,16,RR,8,2,2048,19,10,5120,21504,420288,380553,39735,2048,37687,9.4542
Trace/A-9_new1.5.pdf.trc,16,RR,8,4,2048,20,9,5376,21760,420288,383751,36537,2048,34489,8.6933
Trace/A-9_new1.5.pdf.trc,16,RR,8,8,2048,21,8,5632,22016,420288,385237,35051,2048,33003,8.3398
Trace/A-9_new1.5.pdf.trc,16,RR,8,16,2048,22,7,5888,22272,420288,385594,34694,2048,32646,8.2548
Trace/A-9_new1.5.pdf.trc,16,RR,16,1,1024,18,10,2432,18816,387850,356089,31761,1024,30737,8.189
Trace/A-9_new1.5.pdf.trc,16,RR,16,2,1024,19,9,2560,18944,387850,362147,25703,1024,24679,6.627
Trace/A-9_new1.5.pdf.trc,16,RR,16,4,1024,20,8,2688,19072,387850,364222,23628,1024,22604,6.092
Trace/A-9_new1.5.pdf.trc,16,RR,16,8,1024,21,7,2816,19200,387850,365304,22546,1024,21522,5.8131
Trace/A-9_new1.5.pdf.trc,16,RR,16,16,1024,22,6,2944,19328,387850,365814,22036,1024,21012,5.6816
Trace/A-9_new1.5.pdf.trc,16,RR,32,1,512,18,9,1216,17600,373450,349774,23676,512,23164,6.3398
Trace/A-9_new1.5.pdf.trc,16,RR,32,2,512,19,8,1280,17664,373450,355206,18244,512,17732,4.8853
Trace/A-9_new1.5.pdf.trc,16,RR,32,4,512,20,7,1344,17728,373450,356760,16690,512,16178,4.4691
Trace/A-9_new1.5.pdf.trc,16,RR,32,8,512,21,6,1408,17792,373450,357673,15777,512,15265,4.2247
Trace/A-9_new1.5.pdf.trc,16,RR,32,16,512,22,5,1472,17856,373450,358022,15428,512,14916,4.1312
Trace/A-9_new1.5.pdf.trc,16,RR,64,1,256,18,8,608,16992,366344,346165,20179,256,19923,5.5082
Trace/A-9_new1.5.pdf.trc,16,RR,64,2,256,19,7,640,17024,366344,351381,14963,256,14707,4.0844
Trace/A-9_new1.5.pdf.trc,16,RR,64,4,256,20,6,672,17056,366344,352880,13464,256,13208,3.6752
Trace/A-9_new1.5.pdf.trc,16,RR,64,8,256,21,5,704,17088,366344,354186,12158,256,11902,3.3187
Trace/A-9_new1.5.pdf.trc,16,RR,64,16,256,22,4,736,17120,366344,354345,11999,256,11743,3.2753
Trace/A-9_new1.5.pdf.trc,16,LRU,4,1,4096,18,12,9728,26112,482641,404721,77920,4096,73824,16.1445
Trace/A-9_new1.5.pdf.trc,16,LRU,4,2,4096,19,11,10240,26624,482641,419232,63409,4096,59313,13.1379
Trace/A-9_new1.5.pdf.trc,16,LRU,4,4,4096,20,10,10752,27136,482641,425435,57206,4096,53110,11.8527
Trace/A-9_new1.5.pdf.trc,16,LRU,4,8,4096,21,9,11264,27648,482641,427930,54711,4096,50615,11.3358
Trace/A-9_new1.5.pdf.trc,16,LRU,4,16,4096,22,8,11776,28160,482641,428139,54502,4096,50406,11.2925
Trace/A-9_new1.5.pdf.trc,16,LRU,8,1,2048,18,11,4864,21248,420288,372432,47856,2048,45808,11.3865
Trace/A-9_new1.5.pdf.trc,16,LRU,8,2,2048,19,10,5120,21504,420288,382209,38079,2048,36031,9.0602
Trace/A-9_new1.5.pdf.trc,16,LRU,8,4,2048,20,9,5376,21760,420288,386074,34214,2048,32166,8.1406
Trace/A-9_new1.5.pdf.trc,16,LRU,8,8,2048,21,8,5632,22016,420288,387813,32475,2048,30427,7.7268
Trace/A-9_new1.5.pdf.trc,16,LRU,8,16,2048,22,7,5888,22272,420288,388151,32137,2048,30089,7.6464
Trace/A-9_new1.5.pdf.trc,16,LRU,16,1,1024,18,10,2432,18816,387850,356089,31761,1024,30737,8.189
Trace/A-9_new1.5.pdf.trc,16,LRU,16,2,1024,19,9,2560,18944,387850,363471,24379,1024,23355,6.2857
Trace/A-9_new1.5.pdf.trc,16,LRU,16,4,1024,20,8,2688,19072,387850,366013,21837,1024,20813,5.6303
Trace/A-9_new1.5.pdf.trc,16,LRU,16,8,1024,21,7,2816,19200,387850,367279,20571,1024,19547,5.3039
Trace/A-9_new1.5.pdf.trc,16,LRU,16,16,1024,22,6,2944,19328,387850,367651,20199,1024,19175,5.2079
Trace/A-9_new1.5.pdf.trc,16,LRU,32,1,512,18,9,1216,17600,373450,349774,23676,512,23164,6.3398
Trace/A-9_new1.5.pdf.trc,16,LRU,32,2,512,19,8,1280,17664,373450,356239,17211,512,16699,4.6086
Trace/A-9_new1.5.pdf.trc,16,LRU,32,4,512,20,7,1344,17728,373450,358256,15194,512,14682,4.0686
Trace/A-9_new1.5.pdf.trc,16,LRU,32,8,512,21,6,1408,17792,373450,359266,14184,512,13672,3.7981
Trace/A-9_new1.5.pdf.trc,16,LRU,32,16,512,22,5,1472,17856,373450,359598,13852,512,13340,3.7092
Trace/A-9_new1.5.pdf.trc,16,LRU,64,1,256,18,8,608,16992,366344,346165,20179,256,19923,5.5082
Trace/A-9_new1.5.pdf.trc,16,LRU,64,2,256,19,7,640,17024,366344,352276,14068,256,13812,3.8401
Trace/A-9_new1.5.pdf.trc,16,LRU,64,4,256,20,6,672,17056,366344,354075,12269,256,12013,3.349
Trace/A-9_new1.5.pdf.trc,16,LRU,64,8,256,21,5,704,17088,366344,355542,10802,256,10546,2.9486
Trace/A-9_new1.5.pdf.trc,16,LRU,64,16,256,22,4,736,17120,366344,355799,10545,256,10289,2.8784
Trace/A-9_new1.5.pdf.trc,16,RND,4,1,4096,18,12,9728,26112,482641,404721,77920,4096,73824,16.1445
